id,pub_author,smd_tool,se_tool,pub_year,pub_year_raw_risk,pub_year_risk_value,strand_raw,pub_type_raw,pub_type_risk,pub_type_risk_value,part_assig_raw,part_assig_risk,part_assig_risk_value,eco_valid_raw,eco_valid_risk,eco_valid_risk_value,school_treat_info,school_treat_info_new,school_treat_risk,school_treat_risk_value,int_who_raw,peers,lay persons/volunteers,digital technology,parents/carers,external teachers,teaching assistants,research staff,class teachers,unclear/not specified,int_who_raw_risk_value,class_total_info,class_total_info_new,class_total_info_risk,class_total_risk_value,out_eval_raw,out_eval_risk,out_eval_risk_value,comp_anal_raw,comp_anal_risk,comp_anal_risk_value,sample_analysed_info,sample_size_risk,sample_size_risk_value,out_test_type_raw,out_test_type_raw_risk,out_test_type_raw_risk_value,out_es_type,out_es_type_raw_risk,out_es_type_risk_value,attri_perc_info,attri_perc_info_raw_risk,attri_perc_info_risk_value,clust_anal_raw,clust_anal_raw_risk,clust_anal_risk_value,rand_raw,rand_risk,rand_risk_value,NA_values,Mean,Median,raw_total
37671594,Bennett (2013),0.0032,0.4369,2013,Low Risk,3,['Teaching assistants'],Journal article,Low Risk,3.0,Random (please specify),Low Risk,3,High ecological validity,Low Risk,3,NA,0.0,NA,NA,"['Teaching assistants', 'Other school staff']",False,False,False,False,False,True,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,No,Medium Risk,2.0,21,High Risk,1,Test type  Standardised test ,Low Risk,3,Post-test unadjusted (select one from this group),High Risk,1,12.5,Medium Risk,2.0,No,High Risk,1,Yes,Low Risk,3,2,2.230769230769231,2.0,29.0
38296603,Biggart (2015),0.1641,0.2362,2015,Low Risk,3,"['Digital technology', 'Teaching assistants']",Technical report,Low Risk,3.0,Random (please specify),Low Risk,3,High ecological validity,Low Risk,3,21,21.0,Low Risk,3.0,['Teaching assistants'],False,False,False,False,False,True,False,False,False,2.0,NA,0.0,NA,NA,Is this an EEF evaluation?,NA,NA,Yes,Low Risk,3.0,72,Medium Risk,2,Test type  Standardised test ,Low Risk,3,Post-test adjusted for baseline attainment,Low Risk,3,70.967,High Risk,1.0,No,High Risk,1,Yes,Low Risk,3,2,2.5384615384615383,3.0,33.0
37671632,Blatchford (2007),0.0001,0.125,2007,Low Risk,3,['Teaching assistants'],Journal article,Low Risk,3.0,"Non-random, not matched prior to treatment",Medium Risk,2,High ecological validity,Low Risk,3,NA,0.0,NA,NA,['Teaching assistants'],False,False,False,False,False,True,False,False,False,2.0,224,224.0,Low Risk,3.0,The developer,Medium Risk,2.0,Yes,Low Risk,3.0,5755,Low Risk,3,Test type  National test,Low Risk,3,Post-test adjusted for baseline attainment AND clustering,Low Risk,3,0.0,Low Risk,3.0,Yes,Medium Risk,2,Not applicable,Medium Risk,2,1,2.642857142857143,3.0,37.0
37671541,Brown (2005),1.0488,0.2378,2005,Low Risk,3,['Teaching assistants'],Journal article,Low Risk,3.0,"Non-random, but matched",Medium Risk,2,High ecological validity,Low Risk,3,3,3.0,Medium Risk,2.0,"['Class teachers', 'Teaching assistants']",False,False,False,False,False,True,False,True,False,3.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3.0,81,Medium Risk,2,Test type  Standardised test ,Low Risk,3,Post-test adjusted for baseline attainment,Low Risk,3,5.813,Low Risk,3.0,No,High Risk,1,Not applicable,Medium Risk,2,1,2.5,3.0,35.0
37671596,Bunn (2008),0.6246,0.238,2008,Low Risk,3,['Teaching assistants'],Journal article,Low Risk,3.0,"Non-random, not matched prior to treatment",Medium Risk,2,High ecological validity,Low Risk,3,NA,0.0,NA,NA,['Teaching assistants'],False,False,False,False,False,True,False,False,False,2.0,11,11.0,Low Risk,3.0,The developer,Medium Risk,2.0,No,Medium Risk,2.0,77,Medium Risk,2,Test type  Standardised test ,Low Risk,3,Post-test unadjusted (select one from this group),High Risk,1,2.597,Low Risk,3.0,No,High Risk,1,Not applicable,Medium Risk,2,1,2.2857142857142856,2.0,32.0
37671542,Burgoyne (2012),0.0969,0.2725,2012,Low Risk,3,['Teaching assistants'],Journal article,Low Risk,3.0,Random (please specify),Low Risk,3,High ecological validity,Low Risk,3,NA,0.0,NA,NA,['Teaching assistants'],False,False,False,False,False,True,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3.0,54,Medium Risk,2,Test type  Standardised test ,Low Risk,3,Post-test unadjusted (select one from this group),High Risk,1,5.263,Low Risk,3.0,No,High Risk,1,Yes,Low Risk,3,2,2.4615384615384617,3.0,32.0
37671546,Clarke (2017),0.4545,0.172,2017,Low Risk,3,"['Teaching assistants', 'Phonics', 'One to one tuition']",Journal article,Low Risk,3.0,Random (please specify),Low Risk,3,High ecological validity,Low Risk,3,27,27.0,Low Risk,3.0,['Teaching assistants'],False,False,False,False,False,True,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,No,Medium Risk,2.0,139,Low Risk,3,Test type  Standardised test ,Low Risk,3,Post-test adjusted for baseline attainment AND clustering,Low Risk,3,11.464,Medium Risk,2.0,Yes,Medium Risk,2,Yes,Low Risk,3,1,2.642857142857143,3.0,37.0
37671598,Cole (2009),1.4227,0.4469,2009,Low Risk,3,['Teaching assistants'],Dissertation or thesis,Low Risk,3.0,Random (please specify),Low Risk,3,High ecological validity,Low Risk,3,2,2.0,NA,NA,"['Research staff', 'Teaching assistants']",False,False,False,False,False,True,True,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,No,Medium Risk,2.0,26,High Risk,1,Test type  Researcher developed test,High Risk,1,Post-test unadjusted (select one from this group),High Risk,1,0.0,Low Risk,3.0,No,High Risk,1,Yes,Low Risk,3,2,2.1538461538461537,2.0,28.0
37671620,Cooper (2016) TA,0.0241,0.3594,2016,Low Risk,3,['Teaching assistants'],Dissertation or thesis,Low Risk,3.0,Random (please specify),Low Risk,3,High ecological validity,Low Risk,3,3,3.0,Medium Risk,2.0,['Peers'],True,False,False,False,False,False,False,False,False,1.0,3,3.0,Medium Risk,2.0,The developer,Medium Risk,2.0,Yes,Low Risk,3.0,31,Medium Risk,2,Test type  Standardised test ,Low Risk,3,Post-test adjusted for baseline attainment,Low Risk,3,0.0,Low Risk,3.0,No,High Risk,1,Yes,Low Risk,3,0,2.466666666666667,3.0,37.0
37671548,Dockrell (2015),0.26,0.08,2015,Low Risk,3,['Teaching assistants'],Technical report,Low Risk,3.0,"Non-random, not matched prior to treatment",Medium Risk,2,High ecological validity,Low Risk,3,6,6.0,Low Risk,3.0,"['Class teachers', 'Teaching assistants']",False,False,False,False,False,True,False,True,False,3.0,NA,0.0,NA,NA,Is this an EEF evaluation?,NA,NA,Yes,Low Risk,3.0,592,Low Risk,3,Test type  Standardised test ,Low Risk,3,Post-test adjusted for baseline attainment,Low Risk,3,51.0,High Risk,1.0,No,High Risk,1,Not applicable,Medium Risk,2,2,2.5384615384615383,3.0,33.0
