id,out_type_1,out_type_2,out_type_3,out_type_4,out_type_5,out_type_6,out_type_7,out_type_8,out_type_9,out_type_10,out_type_11,out_type_12,out_type_13,out_type_14
40397347,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642366,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA
40642368,['Toolkit primary outcome'],['Mathematics primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336713,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome'],['Science primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA
40642369,"['Toolkit primary outcome', 'Reading primary outcome']",['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome'],['Science primary outcome'],['Other outcome'],NA,NA,NA,NA,NA
40642373,"['Toolkit primary outcome', 'Mathematics primary outcome']","['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642374,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642377,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397348,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
40642378,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
45336718,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
40642379,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Writing and spelling primary outcome.'],['Science primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
40642380,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642381,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397376,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
